,SPY,SPY,SPY,SPY,SPY,AGG,AGG,AGG,AGG,AGG
,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,
2019-01-22,264.82,265.06,261.06,262.86,115531183,106.44,106.62,106.44,106.44,6823956
2019-01-23,264.01,264.79,260.66,263.41,86030287,106.38,106.59,106.37,106.55,3222846
2019-01-24,263.21,264.2,262.08,263.55,59204139,106.72,106.84,106.67,106.73,7308898
2019-01-25,265.61,266.7,263.66,265.78,96883358,106.64,106.7,106.56,106.68,3469453
2019-01-28,263.39,263.83,261.79,263.76,85613655,106.62,106.75,106.58,106.62,7365747
2019-01-29,263.92,264.55,262.48,263.41,66136334,106.73,106.93,106.69,106.9,6158607
2019-01-30,265.1,268.52,264.25,267.58,92473671,106.79,107.15,106.79,107.14,6350434
2019-01-31,267.51,270.47,267.27,269.93,104012073,107.3,107.53,107.29,107.46,14766451
2019-02-01,270.15,271.2,269.18,270.06,85782524,107.09,107.15,106.88,106.97,7227896
2019-02-04,270.11,272.03,269.36,271.96,60744844,106.83,106.9,106.77,106.88,14227726
2019-02-05,272.44,273.44,271.88,273.1,79552774,106.95,107.14,106.95,107.11,8913510
2019-02-06,272.79,273.34,271.92,272.74,58347791,107.2,107.22,106.99,107.05,6449575
2019-02-07,270.94,271.55,268.29,270.14,95481961,107.15,107.2,107.03,107.1,3938913
2019-02-08,268.75,270.58,267.83,270.47,75788861,107.17,107.38,107.17,107.34,4288562
2019-02-11,271.2,271.49,270.03,270.62,68021423,107.23,107.28,107.15,107.23,3521028
2019-02-12,272.42,274.52,272.34,274.1,72270221,107.22,107.26,107.12,107.25,3136691
2019-02-13,275.03,275.93,274.56,274.99,65277204,107.08,107.14,107.01,107.06,2526097
2019-02-14,273.78,275.64,272.87,274.38,83234396,107.33,107.35,107.17,107.22,2908486
2019-02-15,276.36,277.41,276.13,277.37,97088659,107.25,107.31,107.19,107.3,2413984
2019-02-19,276.48,278.58,276.47,277.85,59120804,107.43,107.45,107.28,107.36,6235519
2019-02-20,277.81,278.92,277.25,278.41,76610767,107.37,107.39,107.28,107.37,3231241
2019-02-21,277.7,278.1,276.35,277.42,64214727,107.16,107.18,107.1,107.13,3676956
2019-02-22,278.11,279.36,277.4,279.14,78114616,107.25,107.52,107.22,107.4,2731541
2019-02-25,280.73,281.31,279.43,279.52,69030699,107.35,107.4,107.3,107.37,3645391
2019-02-26,279.13,280.3,278.9,279.32,56844101,107.53,107.57,107.43,107.49,4759394
2019-02-27,278.52,279.59,277.48,279.2,56921570,107.4,107.4,107.21,107.26,2988342
2019-02-28,278.96,279.45,278.32,278.68,69268293,107.26,107.29,107.03,107.07,11872108
2019-03-01,280.44,280.88,278.82,280.42,78880548,106.77,106.84,106.61,106.63,5526990
2019-03-04,281.6,281.87,276.84,279.4,106494637,106.74,106.84,106.69,106.76,3837156
2019-03-05,279.54,279.76,278.41,279.02,59114559,106.73,106.84,106.67,106.83,5835845
2019-03-06,279.15,279.16,276.97,277.33,75039771,106.88,107.07,106.85,106.99,4834023
2019-03-07,276.83,276.99,274.07,275.01,94885089,107.16,107.35,107.12,107.29,6089153
2019-03-08,272.94,274.65,272.42,274.46,85795799,107.31,107.47,107.24,107.43,4943131
2019-03-11,275.26,278.62,275.23,278.44,65098897,107.44,107.47,107.35,107.44,5638411
2019-03-12,279.06,280.07,278.85,279.49,79667530,107.5,107.67,107.43,107.64,5243350
2019-03-13,280.48,282.38,280.3,281.34,80639153,107.56,107.61,107.51,107.59,2608927
2019-03-14,281.37,281.84,280.67,281.16,67518366,107.57,107.58,107.39,107.43,2955400
2019-03-15,280.54,282.21,280.33,281.31,81308979,107.65,107.74,107.57,107.7,2756917
2019-03-18,281.55,282.66,281.3,282.33,62199806,107.67,107.7,107.63,107.68,2295491
2019-03-19,283.51,284.36,281.41,282.4,90268121,107.58,107.71,107.53,107.62,2928330
2019-03-20,282.16,283.5,280.32,281.55,84609210,107.71,108.09,107.67,108.06,4236169
2019-03-21,280.64,285.18,280.59,284.73,79550375,108.13,108.18,108.05,108.08,4192702
2019-03-22,283.22,283.8,279.18,279.25,122659286,108.46,108.76,108.37,108.62,2464093
2019-03-25,278.87,280.19,277.64,279.04,85575197,108.63,108.99,108.6,108.82,4971284
2019-03-26,280.99,282.18,279.56,281.12,68125920,108.76,108.93,108.71,108.84,3120549
2019-03-27,281.11,281.76,277.93,279.65,72224722,109.0,109.18,108.99,109.07,3719559
2019-03-28,280.35,281.21,279.07,280.71,56238545,109.06,109.14,108.96,109.08,6070991
2019-03-29,282.39,282.84,281.14,282.48,82186806,108.85,109.07,108.83,109.07,5988628
2019-04-01,284.7,286.16,284.4,285.83,77617945,108.62,108.62,108.28,108.31,11261856
2019-04-02,286.04,286.23,285.09,285.97,40070351,108.39,108.46,108.32,108.43,8080094
2019-04-03,287.32,287.76,285.75,286.42,68243202,108.24,108.32,108.19,108.23,3731127
2019-04-04,286.78,287.46,286.01,287.18,48997505,108.25,108.32,108.2,108.31,3676929
2019-04-05,287.92,288.63,287.6,288.57,58621729,108.27,108.41,108.23,108.39,2236562
2019-04-08,288.1,288.91,287.37,288.79,53566335,108.39,108.4,108.3,108.34,9485306
2019-04-09,287.72,288.08,286.7,287.31,66142316,108.47,108.52,108.39,108.4,3753769
2019-04-10,287.77,288.39,287.31,288.29,52601499,108.55,108.64,108.5,108.61,4682046
2019-04-11,288.83,288.84,287.58,288.21,55093100,108.53,108.53,108.42,108.48,2827701
2019-04-12,290.0,290.47,288.26,290.16,69727782,108.26,108.35,108.22,108.27,2390560
2019-04-15,290.24,290.35,289.08,289.97,49596685,108.21,108.3,108.21,108.25,2546204
2019-04-16,290.95,291.01,289.5,290.16,52153197,108.12,108.21,108.02,108.06,4093942
2019-04-17,291.4,291.43,288.99,289.45,58268295,108.09,108.19,108.05,108.05,3390171
2019-04-18,290.1,290.32,288.66,290.02,68708513,108.23,108.29,108.16,108.19,2217221
2019-04-22,289.17,290.44,289.07,290.27,40160140,108.13,108.16,108.05,108.06,5725612
2019-04-23,290.68,293.14,290.42,292.88,52246633,108.18,108.28,108.15,108.25,3422712
2019-04-24,292.79,293.16,292.07,292.23,50392914,108.42,108.53,108.42,108.5,3000163
2019-04-25,292.12,292.78,290.73,292.05,57770862,108.47,108.55,108.42,108.49,2648150
2019-04-26,292.1,293.49,291.24,293.41,50916423,108.74,108.75,108.66,108.71,2299929
2019-04-29,293.51,294.45,293.41,293.87,57197747,108.56,108.62,108.49,108.52,2782634
2019-04-30,293.49,294.34,291.92,294.02,81111733,108.56,108.68,108.51,108.59,7491505
2019-05-01,294.72,294.95,291.8,291.81,71671870,108.47,108.76,108.32,108.4,6387902
2019-05-02,291.68,292.7,289.52,291.18,65030170,108.33,108.33,108.1,108.16,3379510
2019-05-03,292.82,294.34,291.3,294.03,56543653,108.32,108.42,108.28,108.34,2326299
2019-05-06,289.25,293.31,288.9,292.82,107198069,108.56,108.57,108.44,108.48,4609083
2019-05-07,290.15,290.81,285.81,287.93,144729908,108.63,108.7,108.59,108.61,3051351
2019-05-08,287.53,289.43,286.87,287.53,91568287,108.74,108.81,108.55,108.59,5946381
2019-05-09,285.23,287.33,283.3,286.66,103471104,108.78,108.81,108.55,108.65,4847612
2019-05-10,285.62,288.94,282.3,288.1,112429293,108.74,108.82,108.63,108.67,5257496
2019-05-13,282.42,283.49,279.93,280.86,127290527,108.83,108.98,108.82,108.85,6733774
2019-05-14,281.99,285.1,281.85,283.4,77003230,108.9,108.97,108.87,108.94,6217044
2019-05-15,281.59,285.77,281.36,285.06,73956407,109.16,109.18,109.0,109.13,2666488
2019-05-16,285.84,289.21,285.76,287.7,76749643,109.04,109.04,108.95,109.0,2756957
2019-05-17,285.14,288.6,285.12,285.84,100353024,109.12,109.15,108.94,109.03,2090829
2019-05-20,284.06,285.43,283.12,283.95,62877610,108.98,109.06,108.86,108.88,2035034
2019-05-21,285.83,286.93,285.55,286.51,46847085,108.86,108.91,108.81,108.87,2029825
2019-05-22,285.45,286.69,285.1,285.63,49482472,108.95,109.09,108.92,109.05,3509876
2019-05-23,283.16,283.21,280.57,282.14,98733847,109.18,109.5,109.14,109.37,4922489
2019-05-24,283.74,284.2,282.09,282.78,55268095,109.37,109.45,109.33,109.41,2010339
2019-05-28,283.09,284.15,280.13,280.15,70029356,109.57,109.65,109.5,109.57,6270138
2019-05-29,278.91,279.36,276.71,278.27,104972927,109.73,109.85,109.6,109.6,5634417
2019-05-30,279.11,280.04,277.81,279.03,62523780,109.77,109.94,109.65,109.89,3305173
2019-05-31,276.2,277.12,275.24,275.27,86862782,110.01,110.64,110.0,110.4,9204082
2019-06-03,275.31,276.55,273.09,274.57,96427952,110.26,110.52,110.17,110.4,7137903
2019-06-04,277.12,280.68,276.62,280.53,77231889,110.28,110.38,110.13,110.3,5131883
2019-06-05,282.33,282.99,280.32,282.96,71169717,110.36,110.47,110.23,110.24,3253509
2019-06-06,283.29,285.55,282.57,284.8,69430381,110.34,110.42,110.16,110.22,2660352
2019-06-07,285.93,288.85,285.74,287.65,74272199,110.64,110.67,110.45,110.53,3697054
2019-06-10,289.37,290.82,288.87,288.97,60799053,110.36,110.36,110.22,110.24,3992934
2019-06-11,290.99,291.4,288.18,288.9,58641325,110.21,110.25,110.17,110.22,4374559
2019-06-12,288.64,289.26,287.82,288.39,47096312,110.28,110.41,110.26,110.36,2797629
2019-06-13,289.4,289.98,288.62,289.58,48945156,110.43,110.62,110.4,110.6,2293318
2019-06-14,289.26,289.93,288.41,289.26,52324716,110.51,110.63,110.48,110.57,1901165
2019-06-17,289.52,290.22,289.18,289.37,39205709,110.52,110.6,110.46,110.54,3312647
2019-06-18,291.39,293.57,290.99,292.4,85434823,110.94,110.97,110.71,110.84,3640299
2019-06-19,292.55,293.65,291.47,293.06,78674377,110.71,111.22,110.65,111.22,2895875
2019-06-20,296.04,296.31,293.13,295.86,116570017,111.39,111.57,111.34,111.41,4224311
2019-06-21,294.13,295.52,293.76,294.0,83309466,111.22,111.26,111.04,111.12,4640233
2019-06-24,294.23,294.58,293.47,293.64,47582730,111.23,111.38,111.22,111.32,3079779
2019-06-25,293.7,293.73,290.64,290.76,82028656,111.36,111.44,111.22,111.34,3111092
2019-06-26,291.75,292.31,290.35,290.47,51584902,111.29,111.31,111.06,111.09,3703224
2019-06-27,291.31,292.06,290.89,291.5,40355239,111.25,111.41,111.16,111.4,2963646
2019-06-28,292.58,293.55,292.01,293.0,59350929,111.36,111.47,111.32,111.35,9887791
2019-07-01,296.68,296.92,294.33,295.66,79107474,111.25,111.27,111.01,111.18,4199232
2019-07-02,295.61,296.49,294.68,296.43,61504544,111.2,111.41,111.14,111.38,5765417
2019-07-03,297.18,298.82,297.02,298.8,40898896,111.44,111.6,111.43,111.56,1324832
2019-07-05,297.44,298.64,296.01,298.46,51677326,111.21,111.21,110.91,111.09,2461249
2019-07-08,297.01,298.26,296.22,296.82,45841772,111.23,111.26,111.03,111.03,3041397
2019-07-09,295.54,297.52,295.48,297.19,41101279,111.04,111.06,110.95,111.0,2525797
2019-07-10,298.37,299.66,297.78,298.61,58595558,111.14,111.16,110.97,111.08,4589808
2019-07-11,299.32,299.58,298.2,299.31,50889481,111.06,111.06,110.67,110.67,3303803
2019-07-12,299.85,300.73,299.51,300.65,40354410,110.67,110.85,110.67,110.79,3836296
2019-07-15,301.13,301.13,300.19,300.75,33910261,110.87,110.96,110.85,110.95,3619073
2019-07-16,300.65,300.88,299.44,299.71,40567964,110.75,110.83,110.64,110.83,2149083
2019-07-17,299.75,299.93,297.74,297.74,44102443,110.93,111.14,110.91,111.12,2985610
2019-07-18,297.19,299.25,296.7,298.83,51701687,111.1,111.33,111.06,111.3,5982223
2019-07-19,300.04,300.07,296.96,297.17,71081238,111.22,111.29,111.14,111.17,3150774
2019-07-22,297.61,298.5,297.04,297.9,43687404,111.41,111.41,111.3,111.31,2855073
2019-07-23,299.14,300.03,298.22,300.03,44657973,111.27,111.32,111.16,111.2,2659305
2019-07-24,299.19,301.44,299.09,301.44,47213232,111.33,111.41,111.3,111.36,2783254
2019-07-25,300.94,301.0,299.11,300.0,55394092,111.33,111.33,111.05,111.19,2976838
2019-07-26,300.76,302.23,300.62,302.01,45084077,111.32,111.32,111.14,111.21,4669019
2019-07-29,301.88,301.93,300.85,301.46,38126462,111.3,111.35,111.22,111.26,4167109
2019-07-30,299.91,301.17,299.49,300.72,45849045,111.27,111.33,111.16,111.25,2409278
2019-07-31,300.99,301.2,295.2,297.43,104245162,111.3,111.59,111.07,111.3,10034514
2019-08-01,297.6,300.87,293.96,294.84,142646576,111.34,111.95,111.26,111.91,5709211
2019-08-02,293.85,294.12,290.9,292.62,116749695,111.93,112.04,111.82,111.95,3293739
2019-08-05,288.09,288.21,281.72,283.82,178745449,112.28,112.58,112.25,112.44,7626602
2019-08-06,285.91,288.04,284.28,287.8,120711682,112.47,112.76,112.4,112.74,5151810
2019-08-07,284.4,288.82,282.04,287.97,140572265,113.17,113.29,112.61,112.68,9156551
2019-08-08,289.62,293.62,289.01,293.62,87713904,112.51,112.82,112.33,112.79,3707196
2019-08-09,292.58,293.24,289.65,291.62,93729958,112.86,112.95,112.58,112.64,2432292
2019-08-12,289.96,291.61,287.02,288.07,65527630,112.93,113.19,112.87,113.05,2474866
2019-08-13,287.74,294.15,287.36,292.55,94792972,113.15,113.15,112.79,112.89,3048473
2019-08-14,288.07,292.46,283.76,283.9,135622053,113.28,113.38,113.21,113.24,2829922
2019-08-15,284.88,285.64,282.39,284.65,101929845,113.39,113.91,113.37,113.76,2822315
2019-08-16,286.48,289.33,284.71,288.85,85825286,113.57,113.69,113.36,113.67,5209017
2019-08-19,292.19,293.08,291.44,292.33,53640153,113.34,113.46,113.27,113.37,2900796
2019-08-20,291.77,292.36,289.95,290.09,51652752,113.67,113.7,113.56,113.68,2253593
2019-08-21,292.48,292.86,291.72,292.45,49723430,113.51,113.83,113.51,113.62,3815389
2019-08-22,293.23,293.93,290.4,292.36,51739292,113.51,113.68,113.3,113.32,6294965
2019-08-23,290.92,292.76,283.47,284.85,149318151,113.34,113.91,113.31,113.78,3772105
2019-08-26,287.27,288.0,285.58,288.0,72620598,113.84,113.95,113.67,113.73,5128260
2019-08-27,289.54,289.95,286.03,286.87,68262998,113.91,114.12,113.87,114.09,3473405
2019-08-28,286.14,289.07,285.25,288.89,59852324,114.3,114.3,114.04,114.1,5102472
2019-08-29,291.72,293.16,290.61,292.58,57998913,114.08,114.08,113.84,114.03,2670969
2019-08-30,294.22,294.24,291.42,292.45,62961780,113.9,114.15,113.89,114.13,4661629
2019-09-03,290.57,291.58,289.27,290.74,69231875,113.86,114.12,113.69,113.84,6197414
2019-09-04,293.14,294.06,292.31,294.04,47003957,113.82,114.08,113.82,114.04,3814413
2019-09-05,296.79,298.83,294.0,297.82,83356779,113.61,113.67,113.3,113.55,5336458
2019-09-06,298.17,298.76,297.42,298.05,49584290,113.66,113.72,113.56,113.67,3675151
2019-09-09,299.14,299.24,297.16,298.2,51260290,113.39,113.39,113.18,113.19,2747429
2019-09-10,297.36,298.2,295.97,298.13,57947101,113.1,113.13,112.58,112.58,3119323
2019-09-11,298.47,300.34,297.75,300.25,68821066,112.58,112.71,112.56,112.6,2647080
2019-09-12,301.25,302.46,300.41,301.29,72908745,112.91,112.91,112.34,112.42,4069598
2019-09-13,301.78,302.17,300.68,301.09,62104838,112.15,112.27,111.75,111.75,2506567
2019-09-16,299.84,301.14,299.45,300.16,58191175,112.05,112.15,111.89,112.05,2923475
2019-09-17,299.94,301.02,299.75,300.92,42904427,112.11,112.37,112.02,112.22,2614166
2019-09-18,300.49,301.22,298.24,301.1,74192091,112.5,112.7,112.29,112.35,2292355
2019-09-19,301.53,302.63,300.71,301.08,78099215,112.64,112.66,112.45,112.51,2280050
2019-09-20,300.36,300.67,297.41,298.28,97455979,112.64,112.94,112.59,112.92,2057157
2019-09-23,297.55,299.0,297.27,298.21,47541321,113.02,113.24,112.94,112.97,3412011
2019-09-24,299.41,299.84,294.81,295.87,97367568,113.03,113.36,113.03,113.28,2602286
2019-09-25,295.96,298.11,294.33,297.62,73434081,113.21,113.23,112.74,112.81,3813759
2019-09-26,297.63,297.86,295.45,297.0,58722357,113.0,113.1,112.94,113.0,4869355
2019-09-27,297.83,297.95,293.69,295.4,84781110,113.0,113.17,113.0,113.14,4652474
2019-09-30,295.97,297.55,295.92,296.77,52562761,112.93,113.27,112.92,113.17,6621995
2019-10-01,297.74,298.46,293.0,293.24,89900420,112.71,113.25,112.63,113.12,5980252
2019-10-02,291.5,291.51,286.64,288.06,124523974,113.19,113.31,113.09,113.2,9561979
2019-10-03,287.81,290.45,284.82,290.42,85906799,113.34,113.74,113.32,113.64,5144049
2019-10-04,291.14,294.63,290.82,294.35,66700681,113.68,113.83,113.63,113.82,3331180
2019-10-07,293.47,295.26,292.77,293.08,60656561,113.64,113.71,113.51,113.51,2492981
2019-10-08,291.04,291.85,288.49,288.53,101575470,113.82,113.82,113.49,113.55,3055708
2019-10-09,290.75,292.3,288.66,291.27,65707329,113.55,113.56,113.36,113.49,3332795
2019-10-10,291.18,294.21,291.0,293.24,57255974,113.27,113.33,113.03,113.1,4312383
2019-10-11,296.27,298.74,296.14,296.28,101228577,112.84,112.85,112.59,112.73,3566227
2019-10-14,295.93,296.67,295.57,295.95,40546668,112.93,112.93,112.82,112.92,1716639
2019-10-15,297.1,299.7,296.97,298.88,47832356,112.9,112.92,112.55,112.55,4168633
2019-10-16,298.37,299.16,297.92,298.4,50563596,112.68,112.79,112.62,112.75,2430650
2019-10-17,299.68,300.24,298.52,299.28,46784885,112.67,112.86,112.62,112.72,2320651
2019-10-18,298.69,299.4,296.99,297.97,64338028,112.76,112.91,112.73,112.8,1454236
2019-10-21,299.42,300.21,298.94,299.99,39460901,112.62,112.71,112.49,112.49,3314469
2019-10-22,300.58,300.9,298.91,299.01,49126038,112.65,112.74,112.51,112.66,2147439
2019-10-23,298.73,299.94,298.5,299.88,34991829,112.82,112.88,112.73,112.75,1887886
2019-10-24,300.91,301.07,299.46,300.37,35857459,112.84,112.95,112.75,112.78,1725844
2019-10-25,299.74,302.2,299.68,301.6,45205412,112.84,112.85,112.52,112.62,2486700
2019-10-28,302.94,303.85,302.91,303.3,42146965,112.42,112.44,112.31,112.38,2951411
2019-10-29,303.0,304.23,302.86,303.21,44284921,112.48,112.5,112.35,112.39,2384826
2019-10-30,303.43,304.55,301.99,304.14,49643928,112.45,112.75,112.43,112.71,2381436
2019-10-31,304.13,304.13,301.73,303.33,69053791,112.98,113.3,112.89,113.15,5416778
2019-11-01,304.92,306.19,304.74,306.14,71141515,112.98,113.11,112.81,112.93,3988327
2019-11-04,307.85,308.0,306.96,307.37,60606916,112.71,112.72,112.59,112.65,2723842
2019-11-05,307.59,307.92,306.71,307.03,42933219,112.35,112.38,112.15,112.23,3766043
2019-11-06,307.03,307.4,306.06,307.1,46487108,112.4,112.51,112.26,112.4,3908982
2019-11-07,308.57,309.65,307.66,308.18,54272274,112.12,112.12,111.64,111.87,4022445
2019-11-08,307.8,309.0,307.03,308.94,49068797,111.87,112.1,111.81,111.81,3866063
2019-11-11,307.42,308.54,307.27,308.35,35934909,111.96,111.96,111.78,111.83,2112221
2019-11-12,308.75,309.99,308.15,309.0,46484624,111.92,112.03,111.8,111.95,2032870
2019-11-13,307.91,309.54,307.66,309.1,54459018,112.2,112.23,112.08,112.15,2598503
2019-11-14,308.79,309.64,308.09,309.55,52001874,112.5,112.57,112.43,112.47,2901048
2019-11-15,311.02,311.84,310.26,311.79,62706192,112.46,112.46,112.38,112.41,5078285
2019-11-18,311.53,312.28,311.03,312.02,49327980,112.56,112.65,112.52,112.62,6044518
2019-11-19,312.68,312.69,311.22,311.93,67927818,112.63,112.76,112.6,112.7,2655993
2019-11-20,311.28,311.85,309.06,310.77,79696276,112.83,112.98,112.81,112.97,3474474
2019-11-21,310.89,311.01,309.39,310.27,54664690,112.8,112.89,112.72,112.81,6522830
2019-11-22,311.09,311.24,309.85,310.96,44850228,112.89,112.9,112.76,112.87,2507046
2019-11-25,311.98,313.37,311.98,313.37,48762676,112.91,113.01,112.89,112.98,4392682
2019-11-26,313.41,314.28,313.06,314.08,37727953,113.09,113.16,113.08,113.14,2522234
2019-11-27,314.61,315.48,314.37,315.48,44793179,113.03,113.07,112.96,113.0,3437269
2019-11-29,314.86,315.13,314.06,314.31,36592740,113.01,113.02,112.85,112.86,4058982
2019-12-02,314.59,314.66,311.17,311.64,76110027,112.31,112.51,112.29,112.49,9329626
2019-12-03,308.65,309.64,307.13,309.55,75172709,112.8,113.13,112.76,113.0,5310615
2019-12-04,310.7,312.12,310.32,311.46,49190402,112.87,112.95,112.68,112.81,5806479
2019-12-05,312.23,312.25,310.58,312.02,40781669,112.58,112.74,112.53,112.68,4374749
2019-12-06,314.12,315.31,314.11,314.87,48956767,112.47,112.68,112.41,112.52,4648200
2019-12-09,314.44,315.18,313.8,313.88,34904315,112.69,112.72,112.57,112.58,7406938
2019-12-10,313.82,314.55,312.81,313.53,53107133,112.67,112.67,112.49,112.54,3761060
2019-12-11,314.03,314.7,313.44,314.42,53521450,112.67,112.9,112.61,112.84,3764527
2019-12-12,314.43,317.99,314.17,317.13,96585802,112.79,112.79,112.22,112.36,5080118
2019-12-13,316.87,318.67,316.02,317.32,81546487,112.58,112.86,112.4,112.81,5910984
2019-12-16,319.22,320.15,317.25,319.5,82836128,112.68,112.69,112.5,112.58,5012142
2019-12-17,319.92,320.25,319.48,319.57,61131769,112.69,112.7,112.52,112.59,3016266
2019-12-18,320.0,320.25,319.53,319.59,48199955,112.55,112.56,112.36,112.37,6516293
2019-12-19,319.8,320.98,319.52,320.9,85388424,112.19,112.36,112.13,112.3,5613828
2019-12-20,320.46,321.97,319.39,320.73,149338215,112.21,112.33,112.15,112.32,8809204
2019-12-23,321.59,321.65,321.06,321.22,53015641,112.38,112.39,112.18,112.24,3148580
2019-12-24,321.47,321.52,320.9,321.23,20270007,112.17,112.4,112.13,112.38,1887800
2019-12-26,321.65,322.95,321.64,322.94,31024188,112.42,112.49,112.32,112.48,6072100
2019-12-27,323.74,323.8,322.28,322.86,42554820,112.6,112.64,112.58,112.63,4733786
2019-12-30,322.95,323.1,320.55,321.08,49782730,112.42,112.65,112.34,112.63,3979075
2019-12-31,320.53,322.13,320.15,321.86,57106998,112.54,112.54,112.37,112.37,6807603
2020-01-02,323.54,324.89,322.53,324.87,59253833,112.68,112.8,112.56,112.68,6791537
2020-01-03,321.16,323.64,321.1,322.41,77783121,112.89,113.05,112.78,113.01,3664283
2020-01-06,320.49,323.73,320.36,323.64,55761948,113.13,113.13,112.84,112.92,8131608
2020-01-07,323.02,323.54,322.24,322.73,42854811,112.92,112.92,112.78,112.8,2883005
2020-01-08,322.94,325.78,322.67,324.45,68434153,112.85,112.94,112.55,112.67,7323117
2020-01-09,326.16,326.73,325.52,326.65,48569601,112.49,112.79,112.46,112.79,9110852
2020-01-10,327.29,327.46,325.2,325.71,53057389,112.9,112.99,112.82,112.98,4198053
2020-01-13,326.39,327.96,325.92,327.95,47262010,112.89,112.94,112.83,112.91,4465340
2020-01-14,327.47,328.62,326.84,327.45,63036384,112.97,113.02,112.93,113.01,3626984
2020-01-15,327.35,329.02,327.26,328.19,72056598,113.18,113.19,113.07,113.18,3896304
2020-01-16,329.7,330.92,329.45,330.92,54050328,113.16,113.21,113.05,113.18,2801378
2020-01-17,331.7,332.18,330.85,331.95,95846017,113.02,113.1,112.97,113.05,3003267
